AAA,Anaa
NKC,Nouakchott
NKG,Nanjing
NKI,Naukiti
NKM,Nagoya Komaki Airport
NKT,Sirnak
NKW,DIEGO GARCIA
NKX,SAN DIEGO-MIRAMAR MCAS
NLA,Ndola
NLD,Nuevo Laredo
NLF,  Darnley Island
NLG,Nelson Lagoon
NLH,Ninglang Luguhu
NLI,Nikolayevsk-on-Amur
NLK,Norfolk Island
NLO,KINSHASA/N'DOLO
NLT,Xinyuan
NLU,Felipe Angeles
NLV,MYKOLAIV
NMA,Namangan
NME,Nightmute
NMF,Maafaru
NMM,MERIDIAN NAS/MC CAIN FIELD
NMS,NAMSANG
NNB,Santa Ana Island
NNG,Nanning
NNL,Nondalton
NNM,Naryan-Mar
NNT,Nan
NNU,NANUQUE
NNX,Nunukan
NNY,Nanyang
NOA,NOWRA
NOB,Nosara Beach
NOC,Knock
NOG,NOGALES
NOJ,Nojabrsk
NON,Nonouti
NOP,Sinop
NOS,Nosy-Be
NOU,La Tontouta
NOV,Huambo
NOZ,Novokuznetsk
NPA,PENSACOLA NAS/F.SHERMAN FLD
NPE,Napier-Hastings
NPL,New Plymouth
NPY,Mpanda
NQN,Neuquen
NQU,Nuqui
NQX,KEY WEST NAS/BOCA CHICA
NQY,Newquay
NQZ,Nursultan Nazarbayev
NRA,Narrandera
NRD,  Norderney
NRE,  Namrole
NRK,Norrkoping
NRL,North Ronaldsay
NRN,Duesseldorf Weeze Airport
NRR,ROOSEVELT ROADS
NRT,Tokyo Narita Intl
NSB,ALICE TOWN/SOUTH BEMINI
NSH,Now Shahr
NSI,Yaounde Nsimalen Intl Apt
NSK,Norilsk
NSN,Nelson
NSO,SCONE
NSQ,Nuussuaq
NSR,Sao Raimundo Nonato
NST,Nakhon Si Thammarat
NSY,CATANIA/SIGONELLA
NTB,NOTODDEN
NTD,POINT MUGU NAS
NTE,Nantes Atlantique Airport
NTG,Nantong
NTL,Newcastle Williamtown Apt
NTN,Normanton
NTQ,Wajima
NTR,MONTERREY/AEROPORTE DEL NORTE
NTT,  Niuatoputapu
NTX,Natuna
NTY,Sun City
NUA,Nuwara Eliya
NUC,SAN CLEMENTE ISLAND NALF
NUD,NAHUD
NUE,Nuremberg
NUI,Nuiqsut
NUK,Nukutavake
NUL,Nulato
NUM,Neom Bay
NUP,Nunapitchuk
NUQ,MOFFET FEDERAL AIRFIELD
NUS,Norsup
NUU,Nakuru
NUW,WHIDBEY ISLAND NAS
NUX,Novy Urengoy
NVA,Neiva
NVI,Navoi
NVK,Narvik
NVP,NOVO ARIPUANA
NVR,KRETCHEVITSY
NVS,NEVERS/FOURCHAMBAULT
NVT,Navegantes
NWA,MOHELI
NWI,Norwich
NYA,Nyagan
NYI,SUNYANI
NYK,Nanyuki
NYM,Nadym
NYN,NYNGAN
NYO,Stockholm Skavsta Airport
NYR,Nyurba
NYT,Nay Pyi Taw
NYU,Bagan/Nyaung-U
NYW,Monywa
NZE,NZEREKORE/KONIA
NZH,Manzhouli
NZL,Zhalantun
NZW,SOUTH WEYMOUTH NAS
NZY,NORTH ISLAND/HALSEY FLD NAS
OAG,Orange
OAI,Bagram
OAJ,Jacksonville
OAK,Oakland International Apt
OAL,Cacoal
OAM,OAMARU
OAX,Oaxaca
OBF,OBERPFAFFENHOFEN
OBI,OBIDOS
OBL,ZOERSEL - MIL
OBN,  Oban
OBO,Obihiro
OBS,AUBENAS/ARDECHE MERIDIONALE
OBU,Kobuk
OBX,  Obo
OBY,Ittoqqortoormiit
OCC,Coca
OCJ,Ian Fleming
OCM,Boolgeeda
OCV,  Oca a
ODB,CORDOBA
ODE,ODENSE
ODH,ODIHAM
ODN,Long Seridan
ODO,Bodaybo
ODS,Odesa
ODW,  Oak Harbor
ODX,ORD EVELYN SHARP FLD
ODY,Muang Xay
OEL,OREL YUZHNY
OER,Ornskoldsvik
OFF,OMAHA/OFFUT
OFK,NORFOLK KARL STEFAN MEMORIAL
OGD,Ogden Municipal Apt
OGG,Kahului
OGL,Ogle
OGM,Ustupu Island
OGN,YONAGUNI
OGS,Ogdensburg
OGU,Ordu-Giresun
OGX,Ouargla
OGZ,Vladikavkaz
OHA,OHAKEA
OHD,OHRID
OHE,Mohe
OHH,Okha
OHO,Okhotsk
OHS,  Sohar
OHT,KOHAT
OIA,Ourilandia Airport
OIM,Oshima
OIR,OKUSHIRI
OIT,Oita
OKA,Okinawa Naha Apt
OKC,Oklahoma City Will Rogers Apt
OKD,Sapporo Okadama Apt
OKE,OKIERABU
OKH,COTTESMORE
OKI,OKI
OKJ,Okayama
OKL,Oksibil
OKO,TOKYO YOKOTA AB
OKR,  Masig Island
OKS,OSHKOSH GARDEN COUNTY
OKY,OAKEY
OLA,Orland
OLB,Olbia
OLC,Sao Paula de Olivenca
OLD,OLD TOWN/DEWITT FIELD
OLF,Wolf Point
OLH,Old Harbor
OLJ,  Olpoi
OLK,OLEKMINSK
OLL,Oyo
OLM,OLYMPIA
OLP,Olympic Dam
OLS,NOGALES INTL
OLV,OLIVE BRANCH
OLX,Olkiombo
OLY,OLNEY-NOBLE
OLZ,Olyokminsk
OMA,Omaha Eppley Airfield
OMB,  Omboue
OMC,ORMOC
OMD,Oranjemund
OME,Nome
OMF,MAFRAQ
OMH,Urumiyeh
OMM,Marmul
OMO,INTL AIRPORT MOSTAR
OMR,Oradea
OMS,Omsk
ONA,KONA
ONB,  Ononge
OND,Ondangwa
ONG,Mornington Island
ONJ,Odate/Noshiro
ONL,ONEILL MUNI-JOHN L BAKER FLD
ONP,  Newport
ONQ,ZONGULDAK/CAYCUMA
ONS,Onslow
ONT,Ontario LA/Ontario International Apt
ONX,COLON/E.A.JIMENEZ
OOD,Koodaideri Mine
OOK,Toksook Bay
OOL,Gold Coast
OOM,COOMA-SNOWY MOUNTAINS
OOT,Onotoa
OPF,OPA LOCKA
OPO,Porto
OPP,Salinopolis
OPS,Sinop
OPU,  Balimo
OQU,NORTH KINGSTON/QUONSET STATE
ORA,ORAN
ORB,Orebro
ORD,Chicago O'Hare International Apt
ORE,ORLEANS/BRICY
ORF,Norfolk International Apt
ORG,PARAMARIBO/ZORG EN HOOP
ORH,Worcester
ORI,Port Lions
ORK,Cork
ORL,ORLANDO/EXECUTIVE
ORN,Oran Es Senia Apt
ORP,ORAPA
ORT,NORTHWAY
ORU,Oruro
ORV,Noorvik
ORW,ORMARA
ORX,ORIXIMINA
ORY,Paris Orly Apt
OSC,OSCODA-WURTSMITH AFB
OSD,Are/Ostersund
OSH,OSHKOSH WITTMAN REGIONAL
OSI,Osijek
OSK,Oskarshamn
OSL,Oslo Gardermoen Airport
OSM,Mosul
OSN,SONGTAN-SI OSAN AB
OSO,Osborne Mine
OSP,SLUPSK REDZIKOWO
OSR,Ostrava
OSS,Osh
OST,OOSTENDE BRUGGE
OSW,Orsk
OSY,Namsos
OSZ,XXX
OTD,Contadora
OTH,North Bend
OTI,Leo Wattimena
OTM,OTTUMWA INDUSTRIAL
OTP,Bucharest Henri Coanda Apt
OTR,  Coto 47
OTZ,Kotzebue
OUA,Ouagadougou
OUD,Oujda
OUE,OUESSO
OUH,OUDTSHOORN
OUI,BAN HUOEISAY
OUL,Oulu
OUR,BATOURI
OUS,OURINHOS
OUZ,Zouerate
OVB,Novosibirsk
OVD,Asturias
OVR,OLAVARRIA
OVS,Sovetsky
OWB,Owensboro
OXB,Bissau
OXF,OXFORD KIDLINGTON
OXR,  Oxnard
OYA,GAL OYA/AMPARAI
OYE,  Oyem
OYG,  Moyo
OYK,OIAPOQUE
OZC,Ozamis
OZG,Zagora
OZH,Zaporizhia
OZP,MORON
OZZ,Ouarzazate
PAA,HPA-AN
PAB,BILASPUR
PAC,Panama City Marcos A. Gelabert
PAD,Paderborn/Lippstadt
PAE,EVERETT/SNOHOMISH CO
PAF,Pakuba
PAG,Pagadian
PAH,Paducah
PAI,  Pailin
PAJ,PARACHINAR
PAK,PAKSE AIRFIELD
PAL,PALANQUERO / GERMAN OLANO
PAM,PANAMA CITY/TYNDALL AFB
PAN,PATTANI
PAP,Port au Prince
PAS,Paros
PAT,Patna
PAV,PAULO ALFONSO
PAZ,Poza Rica
PBB,PARNAIBA/PREF DR JOAO S. FILHO
PBC,Puebla
PBD,Porbandar
PBF,PINE BLUFF - GRIDER FLD
PBG,Plattsburgh
PBH,Paro
PBI,West Palm Beach International Apt
PBJ,Paama
PBL,PUERTO CABELLO
PBM,Paramaribo Johan A Pengel Apt
PBO,Paraburdoo
PBP,Punta Islita
PBQ,PIMENTA BUENO
PBR,PUERTO BARRIOS
PBU,Putao
PBZ,Plettenberg Bay
PCA,  Portage Creek
PCE,Painter Creek
PCL,Pucallpa
PCN,Picton Aerodrome
PCP,PRINCIPE
PCQ,Boun Neua
PCR,Puerto Carreno
PCS,PICOS
PDA,Puerto Inirida
PDB,Pedro Bay
PDF,PRADO
PDG,Padang
PDK,ATLANTA/DE KALB-PEACHTREE
PDL,Ponta Delgada
PDM,Pedasi
PDP,Punta Del Este
PDS,Piedras Negras
PDT,Pendleton
PDV,Plovdiv
PDX,Portland
PEC,Pelican
PED,Pardubice
PEE,Perm
PEG,Perugia
PEH,PEHUAJO/COMODORE PEDRO ZANNI
PEI,Pereira
PEK,Beijing Capital Intl Apt
PEM,Puerto Maldonado
PEN,Penang
PER,Perth
PES,Petrozavodsk
PET,Pelotas
PEU,Puerto Lempira
PEW,Peshawar
PEX,Pechora
PEZ,Penza
PFB,Passo Fundo
PFN,PANAMA CITY/BAY COUNTY
PFO,Paphos
PFQ,Parsabad
PFR,ILEBO
PGA,Page
PGD,Punta Gorda
PGF,Perpignan
PGG,NOVO PROGRESSO/CACHIMBO
PGH,PANTNAGAR/NAINITAL
PGK,Pangkalpinang
PGM,Port Graham
PGU,Asaloyeh
PGV,Greenville
PGX,Perigueux
PGZ,PONTA GROSSA
PHB,Parnaiba
PHC,Port Harcourt
PHE,Port Hedland
PHF,Newport News
PHG,Port Harcourt City
PHI,PINHEIRO
PHL,Philadelphia International Apt
PHN,PORT HURON - ST CLAIRE CO INTL
PHO,Point Hope
PHP,PHILIP
PHQ,The Monument Airport
PHR,  Pacific Harbour / Deuba
PHS,Phitsanulok
PHT,PARIS - EDGAR COUNTY
PHW,Phalaborwa
PHX,Phoenix Sky Harbor Intl Apt
PIA,Peoria
PIB,Laurel Hattiesburg-Laurel Regional Apt
PIE,Tampa St Petersbrg-Clearwater Intl Apt
PIF,PINGTUNG/NORTH AIRPORT
PIH,Pocatello
PIK,Glasgow Prestwick Apt
PIN,Parintins
PIO,PISCO INTL
PIP,Pilot Point Airport
PIR,Pierre
PIS,Poitiers Biard Airport
PIT,Pittsburgh International Apt
PIU,Piura
PIW,PIKWITONEI
PIX,Pico Island
PIZ,Point Lay
PJA,Pajala
PJC,PEDR J.CABALERO/AUGUSTO FUSTER
PJG,Panjgur
PJM,Puerto Jimenez
PKA,Napaskiak
PKB,Parkersburg/Marietta
PKC,Petropavlovsk
PKD,PARK RAPIDS MUNI - KONSHOK FLD
PKE,Parkes
PKG,Pangkor
PKK,  Pakokku
PKN,Pangkalanbun
PKO,PARAKOU
PKP,Puka-Puka Airport
PKR,Pokhara
PKU,Pekanbaru
PKV,PSKOV
PKW,SELEBI-PHIKWE
PKX,Beijing Daxing
PKY,Palangkaraya
PKZ,Pakse
PLB,PLATTSBURG
PLD,  Playa S mara
PLH,PLYMOUTH
PLI,PALM ISLAND
PLJ,Placencia
PLL,MANAUS/PONTA PELADA
PLM,Palembang
PLN,Pellston
PLO,Port Lincoln
PLQ,Klaipeda/Palanga
PLS,Providenciales
PLU,Belo Horizonte Pampulha Apt
PLW,Palu
PLX,Semey
PLZ,Port Elizabeth
PMA,PEMBA/CHAKE CHAKE
PMC,Puerto Montt
PMD,PALMDALE RGNL/USAF PLANT 42
PMF,Milan Parma Apt
PMG,PONTA PORA/INTL
PMI,Palma De Mallorca
PMK,  Palm Island
PML,Port Moller
PMO,Palermo
PMR,Palmerston North
PMS,PALMYRA
PMV,Porlamar
PMW,Palmas
PMY,Puerto Madryn
PMZ,Palmar
PNA,Pamplona
PNB,PORTO NATIONAL
PNC,PONCA CITY RGNL
PND,Punta Gorda
PNE,NORTHEAST PHILADELPHIA
PNG,PARANAGUA
PNH,Phnom Penh
PNI,Pohnpei
PNK,Pontianak
PNL,Pantelleria
PNP,Popondetta
PNQ,Pune
PNR,Pointe-Noire
PNS,Pensacola Municipal Apt
PNT,PUERTO NATALES/TTE.J.GALLARDO
PNY,Pondicherry
PNZ,Petrolina
POA,Porto Alegre
POB,FAYETTEVILLE/POPE AFB
POD,  Podor
POF,POPLAR BLUFF MUNI
POG,Port Gentil
POI,Potosi
POJ,Patos De Minas
POL,Pemba
POM,Port Moresby
POO,POCOS DE CALDAS
POP,Puerto Plata
POR,Pori
POS,Port of Spain
POT,PORT ANTONIO/KEN JONES
POU,POUGHKEEPSIE - DUTCHESS CO
POW,PORTOROZ/INTL
POX,PONTOISE/CORMEILLES EN VEXIN
POZ,Poznan
PPB,President Prudente
PPE,Puerto Penasco
PPG,Pago Pago
PPI,PORT PIRIE
PPK,PETROPAVLOVSK
PPL,  Phaplu
PPN,Popayan
PPP,Proserpine
PPQ,Paraparaumu
PPS,Puerto Princesa
PPT,Tahiti
PPV,Port Protection
PPW,Papa Westray
PPY,POUSO ALEGRE
PQC,Phuquoc
PQI,Presque Isle
PQM,Palenque
PQQ,Port Macquarie
PQS,Pilot Station
PQT,Qeqertaq
PRA,PARANA/GENERAL URQUIZA
PRB,PASO ROBLES MUNI
PRC,Prescott
PRG,Prague Ruzyne
PRH,Phrae
PRI,Praslin Island
PRM,PORTIMAO
PRN,Pristina
PRQ,  Presidencia Roque S enz Pe a
PRS,  Parasi
PRU,PYAY
PRV,PREROV
PRY,Wonderboom
PSA,Pisa
PSC,Pasco
PSD,PORT SAID
PSE,Ponce
PSF,PITTSFIELD PENSTONE MUNI
PSG,Petersburg
PSI,PASNI
PSJ,Poso
PSL,PERTH/SCONE
PSM,PORTSMOUTH INTL AT PEASE
PSO,Pasto
PSP,Palm Springs Municipal Apt
PSR,Pescara
PSS,Posadas
PSU,Putussibau
PSW,PASSOS
PSX,PALACIOS MUNI
PSZ,Puerto Suarez
PTA,Port Alsworth
PTF,  Malolo Lailai Island
PTG,Polokwane
PTH,Port Heiden
PTJ,Portland
PTK,PONTIAC OAKLAND COUNTY INTL
PTO,PATO BRANCO
PTP,Pointe-a-Pitre
PTQ,PORTO DE MOZ
PTU,Platinum
PTX,Contador
PTY,Panama City Tocumen International
PTZ,SHELL MERA/RIO AMAZONAS
PUB,Pueblo
PUC,PRICE - CARBON COUNTY
PUD,PUERTO DESEADO
PUE,Puerto Obaldia
PUF,Pau
PUG,Port Augusta
PUJ,Punta Cana
PUK,Pukarua Airport
PUM,Kolaka
PUQ,Punta Arenas
PUS,Busan
PUU,Puerto Asis
PUV,POUM MALABOU
PUW,Pullman
PUY,Pula
PUZ,PUERTO CABEZAS
PVA,Providencia
PVC,Provincetown
PVD,Providence
PVG,Shanghai Pudong International Apt
PVH,Porto Velho
PVI,PARANAVAI
PVK,Preveza/Lefkada
PVO,PORTOVIEJO/REALES TAMARINDOS
PVR,Puerto Vallarta
PVS,PROVIDENIYA BAY
PVU,Provo
PWA,OKLAHOMA CITY - WILEY POST
PWE,Pevek
PWK,  Chicago/Prospect Heights/Wheeling
PWM,Portland
PWQ,Pavlodar
PXA,Atung Bungsu
PXM,Puerto Escondido
PXO,Porto Santo
PXU,Pleiku
PYC,Playon Chico
PYG,Pakyong
PYH,Puerto Ayacucho
PYJ,Polyarny
PYR,ANDRAVIDA
PYT,Paracatu
PYY,Pai
PZB,Pietermaritzburg
PZE,  Penzance
PZH,Zhob
PZI,Panzhihua
PZL,Zulu Nyala
PZO,Puerto Ordaz
PZQ,PRESQUE ISLE COUNTY AIRPORT
PZU,Port Sudan
PZY,PIESTANY
QAK,BARBACENA/MAJ BRIG D.BORGES
QAM,AMIENS/GLISY
QAQ,L'AQUILA
QAR,ARNHEIM/DEELEN
QAS,ECH CHELIFF
QAU,BEBEDOURO
QBC,Bella Coola
QBQ,BESANCON/LA VEZE
QBX,SOBRAL
QCJ,BOTUCATU
QCU,Akunnaaq
QDC,DRACENA
QDU,XXX
QDV,JUNDIAI
QEF,EGELSBACH
QFB,Freiburg Stn. (DE)
QFD,BOUFARIK/AIR FORCE BASE
QFG,Eqalugaarsuit Heliport
QFI,Iginniarfik
QFN,Narsaq Kujalleq Heliport
QFO,DUXFORD
QFR,FROSINONE
QFX,Igaliku Heliport
QFZ,SAARBRUCKEN/TRAIN STATION
QGA,GUAIRA
QGC,LENCOIS PAULISTA
QGP,GARANHUNS
QGQ,Attu
QGU,GIFU
QGY,GYOER-PER
QGZ,LA GOMERA
QHB,PIRACICABA
QHP,TAUBATE/MIL AD
QIE,ISTRES/LE TUBE
QIG,IGUATU
QIT,ITAPETINGA
QJB,JUBAIL/NAVAL BASE
QJE,Kitsissuarsuit
QJH,Qassumiut Heliport
QJI,Ikamiut
QJY,Kolobrzeg Bus (PL)
QJZ,Nantes Rail (FR)
QKC,KARAJ-PAYAM
QKL,COLOGNE/TRAIN STATION
QLA,LASHAM
QLF,LAHTI-VESIVEHMAA
QLR,MONTE REAL-AIR BASE NR 5
QLT,LATINA
QLU,LUBIN
QLY,PRATICA DI MARE
QMJ,MASJED SOLEIMAN
QMK,Niaqornaarsuk
QNS,PORTO ALEGRE/CANOAS
QNX,MACON/CHARNAY
QOE,NOERVENICH
QOJ,SAO BORJA
QOQ,Saarloq Heliport
QOW,Owerri
QPA,PADOVA
QPG,SINGAPORE PAYA LEBAR
QPJ,PECS/POGANY
QPM,OPOLE/KAMIEN SLASKI
QPS,PIRACUNUNGA/CAMPO FONTENELLE
QPW,Kangaatsiaq
QPZ,PIACENZA
QQC,ESFAHAN/BADR AFB
QQK,TESSALIT
QQO,ELEFSIS AB
QQQ,VIDSEL
QRA,JOHANNESBURG/RAND
QRC,RANCAGUA/DE LA INDEPENDENCIA
QRE,CARAZINHO
QRM,NARROMINE
QRO,Queretaro
QRW,Warri
QRY,Ikerasaarsuk
QRZ,RESENDE
QSA,SABADELL
QSC,SAO CARLOS/FRANCISCO P.LOPES
QSF,Setif
QSJ,SAO JOAO DEL REI
QSR,SALERNO PONTECAGNANO
QSZ,Shache
QTK,ROTHENBURG/OBERLAUSITZ
QTL,CARATINGA/UBAPORANGA
QUB,Ubari
QUO,Uyo
QUP,Saqqaq
QUS,GUSAU
QUT,UTSUNOMIYA
QUV,Aappilattoq Nanortalik Heliport
QUW,Ammassivik Heliport
QVB,UNIAO DA VITORIA
QVP,AVARE/ARANDU
QWU,Wuerzburg Stn. DE
QXB,AIX-LES MILLES
QXG,Angers Rail (FR)
QXW,ALFENAS
QYR,TROYES/BARBEREY
QYS,YASOUJ
QYX,UPPSALA
QZD,SZEGED
RAB,Rabaul
RAE,Arar
RAH,Rafha
RAI,Praia
RAJ,Rajkot
RAK,Marrakech
RAL,RIVERSIDE MUN
RAO,Ribeirao Preto
RAP,Rapid City Regional Apt
RAQ,Sugimanuru
RAR,Rarotonga Island
RAS,Rasht
RAT,RADUZHNY
RBA,Rabat
RBB,BORBA
RBH,Brooks Lodge
RBL,RED BLUFF MUNI
RBM,STRAUBING
RBQ,Rurrenabaque
RBR,Rio Branco
RBV,Ramata Island
RBX,Rumbek
RBY,Ruby
RCA,ELLSWORTH AFB/RAPID CITY
RCB,Richards Bay
RCE,Roche Harbor
RCH,Riohacha
RCL,  Redcliffe
RCM,Richmond
RCO,ROCHEFORT/ST. AGNANT
RCP,Cinder River
RCQ,RECONQUISTA
RCU,RIO CUARTO
RCY,Rum Cay
RDB,Red Dog Airport
RDC,Redencao Airport
RDD,Redding
RDG,CARL A SPAATZ FLD/READING
RDM,Redmond
RDN,Redang Island
RDO,Radom Airport
RDP,Kazi Nazrul Islam
RDR,GRAND FORKS AFB
RDU,Raleigh/Durham
RDV,Red Devil
RDZ,Rodez
REA,Reao
REB,RECHLIN-LAERZ
REC,Recife
REG,Reggio di Calabria
REL,Trelew
REN,Orenburg
REO,ROME STATE
REP,Siem Reap
RER,Retalhuleu
RES,Resistencia
RET,Rost
REU,Reus
REX,Reynosa
REZ,  Resende
RFD,Chicago Rockford Airport
RFP,Raiatea Island
RGA,Rio Grande
RGI,Rangiroa Island
RGK,Gorno-Altaysk
RGL,Rio Gallegos
RGN,Yangon
RGS,Burgos
RGT,RENGAT/JAPURA
RHD,Rio Hondo
RHE,REIMS/CHAMPAGNE
RHI,Rhinelander
RHO,Rhodes
RHP,Ramechhap
RHT,Alxa Right Banner Badanjilin
RIA,Santa Maria
RIB,Riberalta
RIC,Richmond
RIG,Rio Grande
RIJ,RIOJA
RIN,  Ringi Cove
RIS,RISHIRI
RIV,MARCH AFB/RIVERSIDE
RIW,Riverton
RIX,Riga
RIY,Mukalla
RIZ,Rizhao Shanzihe
RJA,Rajahmundry
RJB,Rajbiraj
RJH,Rajshahi
RJK,KRK ISLAND RIJEKA
RJL,Logrono
RJM,Marinda
RJN,RAFSANJAN
RKA,Aratika
RKD,Rockland
RKE,COPENHAGEN ROSKILDE
RKS,Rock Springs
RKT,Ras al Khaimah
RKV,Reykjavik Apt
RKZ,Xigaze/Rikaze
RLA,ROLLA/VICHY
RLG,Rostock
RLK,Bayannur
RLO,Valle del Conlara
RLR,Ranohira
RMA,Roma
RME,GRIFFISS AIRPARK AIRPORT
RMF,Marsa Alam
RMG,ROME - RICHARD B. RUSSELL
RMI,Rimini
RMK,RENMARK
RML,RATMALANA/COLOMBO
RMO,Chisinau
RMP,Rampart
RMQ,Taichung Cingcyuangang
RMS,RAMSTEIN AB
RMT,Rimatara
RMU,Region de Murcia
RMZ,Tobolsk Remezov
RNA,Arona
RNB,Ronneby/Karlskrona
RND,RANDOLPH AFB
RNE,ROANNE/RENAISON
RNI,Corn Island
RNJ,YORON
RNL,Rennell Island
RNM,Qarn Alam
RNN,Bornholm
RNO,Reno
RNP,  Rongelap Island
RNS,Rennes St Jacques Airport
RNT,RENTON MUN
ROA,Roanoke
ROB,Monrovia Roberts International Apt
ROC,Rochester
ROI,Roi Et
ROK,Rockhampton
RON,Juan Jose Rondon
ROO,Rondonopolis
ROP,Rota
ROR,Koror
ROS,Rosario
ROT,Rotorua
ROV,Rostov
ROW,Roswell
RPM,NGUKURR
RPN,ROSH-PINA/ MAHANAIM-I.BEN-YAA
RPR,Raipur
RQA,Ruoqiang Loulan
RQE,WINDOW ROCK
RQY,Shivamogga
RRG,Rodrigues Island
RRK,ROURKELA
RRR,Raroia
RRS,Roros
RSA,Santa Rosa
RSD,Rock Sound
RSH,Russian Mission
RSI,Red Sea
RSJ,  Rosario
RSL,RUSSELL MUNI
RSS,Damazin
RST,Rochester Municipal Apt
RSU,Yeosu/Suncheon
RSW,Fort Myers SW Florida International Apt
RTA,Rotuma Island
RTB,Roatan
RTG,Frans Sales Lega
RTI,Roti
RTM,Rotterdam Apt
RTW,Saratov
RUA,Arua
RUC,CURITIBA/BACACHERI PR
RUD,Shahrud
RUE,Butembo
RUH,Riyadh
RUI,  Ruidoso
RUK,  Rukumkot
RUL,Maavarulu
RUM,  Rumjatar
RUN,St-Denis
RUP,Rupsi
RUR,Rurutu
RUS,Marau
RUT,Rutland
RVA,  Farafangana
RVD,Rio Verde
RVE,Saravena
RVK,Rorvik
RVN,Rovaniemi
RVS,TULSA - RICHARD LLOYD JONES JR
RVT,Ravensthorpe
RVV,Raivavae
RVY,RIVERA
RWF,REDWOOD FALLS MUNI
RWI,ROCKY MOUNT - WILSON REGIONAL
RWL,RAWLINS/HARVEY FIELD
RWN,RIVNE
RXS,Roxas
RYD,VILLA REYNOLDS
RYG,Oslo Moss-Rygge Airport
RYK,Rahim Yar Khan
RZA,SANTA CRUZ
RZE,Rzeszow
RZP,CLR Airport
RZR,Ramsar
RZS,Sawan
RZV,Rize VArtvin
SAB,Saba
SAC,SACRAMENTO EXECUTIVE
SAD,SAFFORD REGIONAL
SAE,Saatut
SAF,Santa Fe
SAG,Sairdi
SAH,Sanaa
SAI,Siem Reap-Angkor
SAK,SAUDARKROKUR/ALEXANDER
SAL,San Salvador
SAN,San Diego International
SAP,San Pedro Sula
SAQ,  San Andros
SAR,SPARTA COMMUNITY - HUNTER FLD
SAT,San Antonio International Apt
SAV,Savannah/Hilton Head International Apt
SAW,Istanbul Sabiha Gokcen Apt
SAX,Sambu
SAY,SIENA/AMPUGNANO
SBA,Santa Barbara Municipal Apt
SBD,SAN BERNARDINO INTL
SBG,Maimun Saleh
SBH,St Barthelemy
SBI,KOUNDARA
SBJ,SAO MATEUS
SBK,SAINT BRIEUC/ARMOR
SBL,SANTA ANA DEL YACUMA
SBN,South Bend
SBP,San Luis Obispo County Apt
SBQ,SIBI
SBR,  Saibai Island
SBT,Sabetta International Airport
SBU,SPRINGBOK
SBW,Sibu
SBY,Salisbury-Ocean City
SBZ,Sibiu
SCC,Prudhoe Bay/Deadhorse
SCE,State College
SCH,SCHENECTADY
SCI,San Cristobal
SCK,Sacramento Stockton Airport
SCL,Santiago Arturo Merino Benitez
SCM,Scammon Bay
SCN,Saarbruecken Airport
SCO,Aktau
SCQ,Santiago de Compostela
SCR,Salen/Scandinavian
SCS,SCATSTA
SCT,Socotra
SCU,Santiago
SCV,SUCEAVA/STEFAN CEL MARE
SCW,Syktyvkar
SCX,  Salina Cruz
SCY,San Cristobal Island
SCZ,Santa Cruz Island
SDA,BAGHDAD INTL
SDB,LANGEBAANWEG
SDD,Lubango
SDE,Santiago Del Estero
SDF,Louisville International
SDG,Sanandaj
SDJ,Sendai
SDK,Sandakan
SDL,Sundsvall/Harnosand
SDM,SAN DIEGO/BROWN FIELD
SDN,Sandane
SDP,Sand Point
SDQ,Santo Domingo Las Americas Apt
SDR,Santander
SDT,SAIDU SHARIF
SDU,Rio de Janeiro Santos Dumont Apt
SDV,Tel Aviv-Yafo Sde Dov
SDY,Sidney
SEA,Seattle/Tacoma International Apt
SEB,Sebha
SEK,Srednekolymsk
SEN,London Southend Apt
SET,Serra Talhada
SEU,Seronera
SEY,  Selibaby
SEZ,Mahe Island
SFA,Sfax
SFB,Orlando Sanford International Airport
SFD,SAN FERNANDO DE APURE
SFE,SAN FERNANDO
SFF,SPOKANE/FELTS FIELD
SFG,St Martin Esperance Apt
SFH,SAN FELIPE
SFJ,Kangerlussuaq
SFK,SOURE
SFL,Sao Filipe
SFN,Santa Fe
SFO,San Francisco International Apt
SFQ,SANLIURFA
SFS,SUBIC BAY/OLONGAPO
SFT,Skelleftea
SGC,Surgut
SGD,Sonderborg Airport
SGE,SIEGERLAND
SGF,Springfield
SGG,Sermiligaaq
SGK,  Sangapi
SGN,Ho Chi Minh City
SGO,St George
SGS,Sanga Sanga
SGU,St George
SGV,SIERRA GRANDE
SGX,SONGEA
SGY,Skagway
SGZ,SONGKHLA
SHA,Shanghai Hongqiao International Apt
SHB,Nakashibetsu
SHC,Inda Selassie
SHD,Staunton
SHE,Shenyang
SHF,Shihezi Huayuan Airport
SHG,Shungnak
SHH,Shishmaref
SHI,SHIMOJISHIMA
SHJ,Sharjah
SHL,Shillong
SHM,Shirahama
SHN,SHELTON - SANDERSON FIELD
SHO,King Mswati III International
SHP,Qinhuangdao
SHR,Sheridan
SHS,Jingzhou
SHT,SHEPPARTON
SHV,Shreveport Regional Apt
SHW,Sharurah
SHX,Shageluk
SHY,SHINYANGA/IBADAKULI
SIA,  Xi'an
SIC,San Jose Island
SID,Sal Island
SIF,SIMARA
SIG,  San Juan
SIN,Singapore Changi Apt
SIO,SMITHTON
SIP,Simferopol
SIQ,SINGKEP
SIR,SION
SIS,SISHEN
SIT,Sitka
SJA,SAN JUAN DE MARCONA
